ORGYN,GENDER,AGE,BILL,CLASS,LTIME,MNTH_INCOME
0,F,52,14410,Gold,8,2000
0,F,52,16174,Gold,7,2000
0,M,53,10674,Gold,9,2000
0,M,53,16268,Gold,1,2000
0,F,54,6995,Gold,5,2000
0,F,54,8356,Gold,6,2000
0,M,55,15107,Gold,7,2000
0,F,55,16743,Gold,8,2000
0,F,56,5058,Gold,8,2000
0,F,56,16251,Gold,6,2000
0,F,57,6555,Gold,1,2000
0,F,57,7958,Gold,2,2000
0,F,58,5423,Gold,6,2000
0,F,58,12255,Gold,2,2000
0,M,58,16627,Gold,18,2000
0,F,58,17291,Gold,12,2000
0,F,59,11206,Gold,2,2000
1,F,59,11864,Gold,5,2000
1,F,60,7217,Gold,2,2000
0,M,60,11190,Gold,2,2000
0,F,60,12172,Gold,7,2000
0,F,60,15915,Gold,1,2000
0,F,60,16259,Gold,3,2000
1,F,60,18943,Gold,2,2000
0,F,60,19113,Gold,2,2000
0,F,61,9017,Gold,1,2000
0,F,61,9386,Gold,10,2000
0,F,61,10465,Gold,2,2000
0,M,61,14390,Gold,8,2000
0,F,61,16976,Gold,10,2000
0,F,61,17367,Gold,9,2000
0,F,62,12570,Gold,7,2000
0,M,62,16447,Gold,8,2000
0,F,62,17414,Gold,11,2000
0,M,62,18972,Gold,2,2000
0,F,63,5365,Gold,8,2000
0,F,63,5448,Gold,4,2000
0,F,63,6390,Gold,5,2000
0,F,63,9583,Gold,6,2000
0,F,64,6175,Gold,12,2000
0,M,64,7390,Gold,1,2000
0,F,64,9431,Gold,2,2000
0,F,64,11713,Gold,1,2000
1,F,65,6497,Gold,2,2000
0,F,65,6785,Gold,8,2000
0,F,65,15203,Gold,5,2000
1,F,65,15978,Gold,21,2000
0,M,65,16857,Gold,1,2000
1,M,65,19297,Gold,6,2000
0,F,66,6978,Gold,17,2000
1,M,66,11232,Gold,5,2000
1,F,66,12702,Gold,5,2000
1,F,66,13142,Gold,2,2000
1,F,66,13486,Gold,1,2000
0,F,66,19131,Gold,7,2000
0,F,66,19537,Gold,8,2000
0,M,67,7430,Gold,14,2000
0,M,67,14625,Gold,4,2000
0,M,67,18352,Gold,6,2000
0,M,68,6675,Gold,9,2000
0,M,68,14595,Gold,5,2000
1,F,68,15113,Gold,2,2000
0,F,68,18627,Gold,4,2000
0,M,69,6445,Gold,2,2000
1,F,69,8586,Gold,4,2000
0,M,69,8968,Gold,11,2000
0,M,69,11763,Gold,4,2000
0,F,69,12955,Gold,8,2000
0,F,69,17435,Gold,1,2000
0,F,70,6840,Gold,1,2000
0,M,70,19479,Gold,1,2000
0,F,71,12817,Gold,15,2000
0,F,72,7056,Gold,2,2000
0,M,72,7791,Gold,11,2000
0,F,72,12442,Gold,7,2000
1,M,72,14114,Gold,2,2000
1,F,72,15611,Gold,29,2000
0,M,72,18195,Gold,6,2000
0,F,72,18612,Gold,6,2000
0,F,72,19353,Gold,7,2000
0,M,73,9096,Gold,20,2000
0,F,73,9317,Gold,9,2000
1,F,73,11498,Gold,27,2000
0,F,73,16462,Gold,1,2000
0,F,73,18572,Gold,12,2000
0,F,74,6314,Gold,2,2000
0,F,74,12524,Gold,14,2000
0,M,74,14429,Gold,7,2000
0,M,74,19016,Gold,5,2000
0,F,75,9296,Gold,4,2000
0,F,76,13037,Gold,5,2000
0,F,76,16555,Gold,6,2000
0,M,76,16936,Gold,13,2000
1,M,77,5245,Gold,2,2000
0,M,77,8856,Gold,9,2000
0,M,77,11452,Gold,5,2000
0,M,77,19593,Gold,2,2000
0,M,78,5787,Gold,10,2000
0,F,78,6240,Gold,4,2000
0,F,78,8354,Gold,4,2000
0,F,78,15627,Gold,5,2000
0,F,79,9479,Gold,2,2000
1,F,79,16830,Gold,2,2000
0,M,31,9380,Gold,1,2500
1,M,34,8898,Gold,9,2500
1,F,34,9682,Gold,11,2500
1,F,34,13687,Gold,5,2500
0,F,35,15735,Gold,4,2500
0,F,36,6959,Gold,2,2500
1,F,37,5829,Gold,4,2500
0,F,37,7590,Gold,11,2500
0,M,38,13495,Gold,4,2500
0,M,40,7121,Gold,2,2500
0,M,40,8310,Gold,1,2500
0,F,41,7257,Gold,4,2500
0,F,41,15905,Gold,4,2500
0,F,41,18196,Gold,5,2500
1,F,42,7772,Gold,1,2500
0,M,42,11996,Gold,1,2500
1,F,42,16948,Gold,5,2500
0,M,42,18836,Gold,5,2500
1,F,44,6395,Gold,5,2500
0,F,44,10424,Gold,2,2500
1,F,44,13855,Gold,1,2500
0,F,44,18187,Gold,6,2500
0,F,45,6288,Gold,3,2500
0,F,45,11083,Gold,3,2500
0,M,45,13475,Gold,6,2500
0,F,46,6007,Gold,3,2500
1,F,46,8109,Gold,5,2500
0,F,46,11467,Gold,5,2500
0,F,47,5872,Gold,2,2500
0,M,47,8733,Gold,5,2500
0,F,47,12583,Gold,1,2500
0,F,47,15997,Gold,5,2500
0,M,47,17777,Gold,1,2500
0,M,48,12930,Gold,1,2500
0,F,48,13279,Gold,8,2500
0,F,48,18704,Gold,1,2500
0,F,49,7487,Gold,7,2500
0,F,49,10377,Gold,1,2500
0,F,49,10650,Gold,9,2500
0,F,49,12107,Gold,4,2500
0,F,50,7310,Gold,3,2500
0,F,50,8062,Gold,3,2500
0,F,50,11098,Gold,5,2500
0,M,50,13517,Gold,7,2500
0,F,50,16227,Gold,1,2500
0,F,50,18979,Gold,6,2500
1,M,50,19240,Gold,2,2500
0,F,51,8867,Gold,1,2500
1,F,51,9407,Gold,4,2500
0,M,51,10102,Gold,2,2500
0,M,51,14281,Gold,8,2500
0,F,51,15187,Gold,6,2500
0,F,51,18132,Gold,11,2500
0,F,52,11798,Gold,2,2500
0,M,52,14030,Gold,1,2500
0,F,52,14120,Gold,18,2500
0,M,52,17566,Gold,1,2500
0,F,52,18485,Gold,2,2500
0,M,52,18803,Gold,2,2500
0,F,53,7286,Gold,6,2500
0,F,53,10607,Gold,8,2500
0,F,53,13848,Gold,2,2500
0,F,53,15564,Gold,2,2500
0,F,53,16404,Gold,6,2500
1,M,53,17492,Gold,23,2500
0,F,53,18202,Gold,4,2500
0,M,54,6825,Gold,1,2500
0,M,54,8077,Gold,3,2500
0,F,54,9582,Gold,1,2500
0,F,54,17237,Gold,5,2500
0,F,54,19765,Gold,2,2500
1,F,55,7597,Gold,9,2500
0,F,55,8908,Gold,1,2500
0,F,55,8996,Gold,11,2500
0,M,55,15844,Gold,1,2500
0,M,55,16412,Gold,3,2500
0,F,55,16752,Gold,5,2500
0,F,55,18528,Gold,8,2500
0,F,56,8768,Gold,5,2500
1,F,56,9674,Gold,22,2500
0,M,56,10279,Gold,1,2500
0,F,56,12285,Gold,2,2500
0,F,56,17948,Gold,6,2500
0,F,57,6518,Gold,9,2500
0,M,57,6720,Gold,2,2500
0,F,57,11641,Gold,2,2500
0,F,57,14136,Gold,6,2500
0,F,57,16337,Gold,3,2500
0,M,57,17041,Gold,2,2500
0,F,58,5111,Gold,2,2500
0,F,58,7766,Gold,2,2500
0,F,58,10787,Gold,7,2500
0,F,58,15226,Gold,7,2500
0,M,58,16131,Gold,1,2500
0,F,58,16312,Gold,8,2500
0,F,58,19402,Gold,4,2500
0,F,58,19616,Gold,4,2500
0,F,59,5062,Gold,8,2500
1,M,59,5160,Gold,1,2500
0,F,59,8049,Gold,11,2500
0,F,59,10654,Gold,5,2500
0,M,59,14584,Gold,12,2500
0,F,60,6377,Gold,2,2500
0,F,60,9797,Gold,4,2500
0,F,60,10885,Gold,2,2500
0,F,60,11806,Gold,4,2500
1,F,60,11837,Gold,2,2500
0,F,60,12972,Gold,7,2500
1,F,60,13290,Gold,7,2500
0,F,60,16579,Gold,2,2500
0,F,60,18267,Gold,7,2500
1,M,60,19545,Gold,9,2500
0,F,61,7483,Gold,3,2500
0,F,61,11370,Gold,12,2500
0,F,61,11554,Gold,5,2500
0,M,61,16359,Gold,7,2500
0,F,61,18544,Gold,4,2500
0,F,61,19272,Gold,10,2500
0,F,61,19727,Gold,4,2500
0,F,62,5996,Gold,1,2500
0,F,62,7313,Gold,4,2500
0,M,62,8848,Gold,12,2500
0,F,62,12711,Gold,5,2500
0,F,62,14064,Gold,5,2500
0,F,62,18436,Gold,4,2500
0,F,62,19546,Gold,5,2500
0,M,63,8086,Gold,4,2500
1,F,63,12585,Gold,2,2500
0,F,63,13149,Gold,5,2500
0,F,63,18813,Gold,4,2500
0,F,63,19604,Gold,5,2500
0,F,64,6290,Gold,8,2500
0,F,64,7800,Gold,4,2500
1,F,64,8666,Gold,25,2500
0,F,64,10634,Gold,11,2500
0,F,64,12214,Gold,6,2500
0,F,64,17783,Gold,4,2500
0,F,64,18739,Gold,2,2500
1,F,64,19690,Gold,23,2500
0,F,65,19647,Gold,3,2500
0,F,65,19819,Gold,1,2500
1,F,66,9202,Gold,8,2500
1,F,66,15904,Gold,2,2500
1,F,66,15905,Gold,2,2500
1,F,66,16712,Gold,1,2500
0,M,66,19527,Gold,5,2500
0,F,67,5463,Gold,2,2500
0,M,67,6483,Gold,5,2500
0,F,67,6912,Gold,4,2500
0,F,67,7188,Gold,9,2500
0,F,67,7795,Gold,4,2500
0,M,67,7916,Gold,4,2500
0,F,67,9862,Gold,2,2500
0,F,67,10273,Gold,7,2500
1,F,67,14640,Gold,18,2500
0,M,67,15361,Gold,19,2500
0,M,68,9656,Gold,7,2500
0,M,68,10325,Gold,5,2500
0,F,68,10345,Gold,7,2500
0,M,68,10665,Gold,4,2500
0,M,68,12087,Gold,1,2500
0,M,68,12795,Gold,2,2500
0,M,68,13931,Gold,6,2500
0,F,68,15471,Gold,11,2500
0,F,68,15727,Gold,3,2500
1,M,68,16950,Gold,31,2500
0,F,68,17461,Gold,9,2500
0,F,68,17785,Gold,5,2500
1,F,69,5054,Gold,31,2500
0,F,69,6215,Gold,13,2500
0,F,69,9602,Gold,15,2500
0,F,69,15026,Gold,5,2500
0,F,69,19310,Gold,7,2500
0,F,70,5596,Gold,6,2500
0,M,70,8730,Gold,1,2500
0,F,70,9772,Gold,8,2500
0,F,70,15306,Gold,2,2500
0,F,70,18406,Gold,8,2500
0,F,70,18521,Gold,6,2500
0,F,71,6832,Gold,8,2500
0,M,71,10967,Gold,4,2500
0,F,71,12697,Gold,1,2500
1,F,71,17580,Gold,5,2500
0,M,71,17615,Gold,5,2500
0,F,72,6622,Gold,15,2500
0,F,72,9294,Gold,2,2500
0,M,72,10501,Gold,1,2500
0,M,72,10654,Gold,5,2500
0,F,72,11945,Gold,2,2500
0,M,72,16639,Gold,24,2500
0,M,72,19908,Gold,2,2500
0,F,73,7454,Gold,6,2500
0,M,73,15770,Gold,12,2500
0,F,73,16764,Gold,9,2500
0,F,73,17134,Gold,13,2500
0,F,73,18360,Gold,2,2500
1,F,73,18618,Gold,5,2500
0,F,74,5406,Gold,3,2500
0,F,74,7392,Gold,6,2500
0,F,74,14034,Gold,2,2500
1,F,75,5202,Gold,4,2500
0,F,75,10749,Gold,4,2500
0,F,75,11222,Gold,7,2500
0,F,76,11593,Gold,9,2500
1,F,76,13520,Gold,3,2500
0,F,76,14070,Gold,7,2500
0,F,76,16413,Gold,11,2500
1,M,76,17884,Gold,15,2500
0,M,76,18803,Gold,27,2500
1,M,76,19750,Gold,24,2500
0,F,77,9320,Gold,4,2500
0,F,77,16985,Gold,2,2500
0,F,77,19601,Gold,6,2500
0,F,77,19673,Gold,9,2500
0,F,78,5800,Gold,3,2500
0,M,79,9921,Gold,1,2500
1,M,79,12253,Gold,1,2500
1,M,25,8297,Gold,5,3000
0,F,25,9262,Gold,1,3000
0,F,27,16212,Gold,7,3000
1,F,28,6903,Gold,9,3000
1,F,30,19144,Gold,2,3000
1,F,31,9552,Gold,1,3000
0,F,31,15259,Gold,2,3000
1,F,32,12065,Gold,5,3000
1,M,32,14316,Gold,12,3000
1,F,34,10794,Gold,6,3000
1,F,36,5561,Gold,3,3000
1,F,37,8652,Gold,1,3000
1,F,37,8696,Gold,6,3000
1,F,37,15633,Gold,3,3000
0,M,38,16840,Gold,11,3000
1,M,39,15505,Gold,3,3000
0,F,40,15973,Gold,1,3000
0,M,43,5966,Gold,6,3000
0,F,43,6000,Gold,10,3000
0,M,43,9411,Gold,5,3000
1,F,43,13540,Gold,5,3000
1,F,43,16223,Gold,2,3000
1,F,43,16598,Gold,1,3000
0,F,45,11965,Gold,4,3000
0,F,45,14817,Gold,6,3000
0,M,45,15291,Gold,8,3000
0,F,45,15800,Gold,7,3000
0,F,45,16441,Gold,2,3000
0,F,45,19408,Gold,12,3000
0,F,46,10161,Gold,3,3000
0,F,46,19508,Gold,8,3000
0,F,47,5948,Gold,2,3000
0,F,47,8921,Gold,2,3000
0,F,47,13341,Gold,2,3000
0,F,47,13925,Gold,6,3000
1,M,47,14285,Gold,13,3000
0,F,47,15468,Gold,2,3000
0,F,47,16467,Gold,7,3000
1,F,47,17494,Gold,1,3000
0,M,48,15045,Gold,1,3000
0,F,48,18541,Gold,4,3000
0,F,48,19485,Gold,11,3000
0,F,49,7025,Gold,5,3000
0,F,49,10058,Gold,8,3000
0,F,49,10640,Gold,1,3000
0,F,49,16107,Gold,2,3000
0,F,49,16655,Gold,3,3000
0,F,49,19336,Gold,4,3000
1,F,50,7425,Gold,1,3000
1,F,50,10773,Gold,1,3000
0,F,50,14207,Gold,3,3000
0,F,50,15643,Gold,1,3000
0,F,50,16013,Gold,5,3000
0,F,50,17295,Gold,1,3000
0,M,51,11130,Gold,7,3000
0,F,51,16705,Gold,6,3000
0,F,51,17407,Gold,5,3000
0,F,51,17634,Gold,8,3000
0,F,52,11962,Gold,9,3000
0,F,52,13758,Gold,11,3000
1,F,52,14780,Gold,8,3000
0,F,52,15172,Gold,4,3000
0,F,52,17321,Gold,1,3000
1,F,52,19444,Gold,8,3000
0,F,53,6043,Gold,8,3000
0,F,53,7191,Gold,5,3000
1,F,53,10052,Gold,26,3000
0,F,53,10094,Gold,2,3000
0,F,53,12237,Gold,2,3000
0,F,53,12491,Gold,3,3000
0,F,53,14111,Gold,2,3000
0,F,53,14780,Gold,6,3000
0,F,53,17599,Gold,8,3000
0,F,54,7800,Gold,2,3000
0,F,54,7932,Gold,6,3000
0,F,54,12926,Gold,11,3000
0,M,54,15191,Gold,4,3000
0,F,54,18857,Gold,9,3000
0,F,55,5666,Gold,2,3000
0,F,55,8793,Gold,7,3000
0,F,55,14672,Gold,4,3000
0,F,55,15472,Gold,2,3000
0,F,55,16804,Gold,5,3000
1,F,55,18716,Gold,11,3000
0,F,56,5085,Gold,1,3000
1,M,56,9519,Gold,1,3000
0,F,56,10520,Gold,8,3000
0,F,56,12271,Gold,0,3000
1,M,56,12711,Gold,5,3000
0,F,56,16151,Gold,5,3000
0,F,56,18647,Gold,7,3000
0,F,57,9203,Gold,7,3000
0,M,57,10325,Gold,8,3000
0,M,57,10704,Gold,1,3000
1,F,57,10899,Gold,2,3000
0,F,57,11378,Gold,6,3000
0,M,57,12163,Gold,6,3000
0,M,57,12879,Gold,2,3000
0,F,57,13219,Gold,1,3000
1,F,57,19320,Gold,7,3000
0,M,58,5952,Gold,6,3000
0,F,58,6818,Gold,2,3000
0,F,58,7741,Gold,4,3000
0,M,58,8012,Gold,2,3000
0,F,58,10751,Gold,4,3000
1,M,58,11273,Gold,25,3000
0,F,58,16044,Gold,5,3000
0,M,58,16774,Gold,12,3000
0,M,58,19019,Gold,6,3000
0,F,59,5147,Gold,35,3000
0,M,59,5516,Gold,7,3000
0,F,59,8017,Gold,9,3000
0,M,59,8263,Gold,2,3000
0,F,59,9145,Gold,2,3000
0,M,59,9789,Gold,2,3000
0,F,59,10481,Gold,12,3000
0,M,59,11647,Gold,2,3000
0,F,59,14435,Gold,2,3000
0,F,59,17538,Gold,1,3000
0,F,60,6084,Gold,6,3000
0,M,60,9781,Gold,5,3000
0,M,60,9842,Gold,4,3000
0,F,60,11049,Gold,15,3000
0,F,60,11591,Gold,8,3000
0,F,60,13932,Gold,8,3000
0,F,60,14253,Gold,12,3000
1,F,60,15191,Gold,19,3000
0,F,60,15475,Gold,2,3000
0,F,60,16094,Gold,25,3000
0,F,60,17040,Gold,6,3000
0,F,60,17128,Gold,1,3000
0,F,60,18505,Gold,1,3000
0,M,60,19398,Gold,10,3000
0,F,60,19435,Gold,8,3000
0,F,61,6165,Gold,1,3000
0,M,61,7109,Gold,1,3000
0,F,61,8856,Gold,12,3000
0,F,61,11198,Gold,4,3000
0,F,61,11883,Gold,1,3000
0,M,61,17432,Gold,8,3000
0,M,61,18376,Gold,7,3000
0,F,61,19539,Gold,5,3000
0,F,62,9187,Gold,8,3000
0,F,62,9996,Gold,4,3000
0,M,62,14239,Gold,2,3000
0,F,63,6776,Gold,1,3000
0,F,63,6788,Gold,6,3000
0,F,63,7230,Gold,2,3000
0,F,63,7463,Gold,8,3000
0,F,63,8020,Gold,9,3000
0,M,63,8328,Gold,13,3000
0,M,63,9211,Gold,1,3000
0,F,63,11960,Gold,4,3000
0,F,63,13481,Gold,8,3000
1,F,63,14213,Gold,5,3000
0,F,63,14596,Gold,5,3000
0,M,63,15045,Gold,7,3000
0,F,63,15392,Gold,17,3000
1,F,63,16234,Gold,25,3000
0,F,63,16917,Gold,3,3000
0,F,64,5449,Gold,5,3000
1,F,64,9578,Gold,27,3000
0,F,64,11801,Gold,5,3000
1,F,64,15669,Gold,18,3000
0,F,64,17928,Gold,8,3000
0,M,64,19291,Gold,6,3000
0,F,64,19954,Gold,8,3000
1,F,65,5405,Gold,8,3000
0,F,65,6256,Gold,2,3000
1,F,65,7693,Gold,2,3000
0,F,65,9789,Gold,2,3000
1,F,65,10486,Gold,5,3000
1,F,65,10776,Gold,14,3000
1,F,65,13748,Gold,2,3000
0,M,66,8749,Gold,13,3000
1,F,66,9818,Gold,7,3000
1,F,66,11547,Gold,5,3000
0,F,66,12200,Gold,17,3000
1,M,66,12554,Gold,3,3000
1,F,66,13704,Gold,29,3000
0,M,66,14450,Gold,7,3000
1,F,66,16042,Gold,2,3000
0,F,66,16455,Gold,2,3000
1,F,66,16493,Gold,6,3000
1,M,66,18240,Gold,4,3000
1,F,67,5678,Gold,2,3000
0,F,67,6714,Gold,2,3000
0,F,67,6889,Gold,6,3000
0,M,67,7451,Gold,8,3000
0,M,67,7646,Gold,12,3000
1,F,67,9453,Gold,2,3000
0,F,67,10185,Gold,2,3000
0,F,67,10949,Gold,4,3000
1,F,67,11085,Gold,4,3000
0,F,67,14427,Gold,3,3000
0,M,67,14642,Gold,4,3000
0,M,67,16220,Gold,2,3000
0,F,67,16625,Gold,4,3000
1,F,67,17789,Gold,25,3000
1,F,67,19590,Gold,31,3000
0,M,68,8668,Gold,9,3000
0,M,68,8859,Gold,3,3000
0,F,68,9322,Gold,5,3000
0,F,68,11149,Gold,0,3000
0,F,68,12882,Gold,6,3000
0,F,68,13545,Gold,6,3000
0,F,68,16898,Gold,5,3000
0,M,68,17434,Gold,6,3000
0,F,68,17670,Gold,1,3000
0,F,68,18448,Gold,5,3000
0,F,68,18476,Gold,2,3000
0,F,68,19438,Gold,4,3000
0,F,68,19545,Gold,8,3000
0,F,69,5754,Gold,8,3000
0,F,69,5887,Gold,6,3000
0,F,69,7751,Gold,15,3000
0,F,69,8124,Gold,5,3000
0,F,69,8470,Gold,1,3000
0,M,69,9949,Gold,23,3000
0,F,69,11191,Gold,7,3000
0,F,69,11228,Gold,2,3000
0,M,69,11250,Gold,1,3000
1,F,69,12763,Gold,6,3000
0,M,69,14377,Gold,1,3000
0,F,69,15121,Gold,7,3000
0,F,69,16491,Gold,5,3000
1,F,70,6316,Gold,4,3000
0,F,70,6431,Gold,4,3000
0,M,70,13079,Gold,12,3000
0,F,70,16899,Gold,8,3000
0,F,70,17087,Gold,6,3000
1,F,70,17156,Gold,2,3000
1,F,71,6617,Gold,19,3000
0,F,71,7801,Gold,12,3000
0,F,71,9936,Gold,2,3000
0,F,71,10331,Gold,2,3000
0,M,71,11544,Gold,3,3000
1,M,71,12183,Gold,27,3000
0,F,71,15084,Gold,5,3000
0,M,71,15227,Gold,4,3000
0,F,71,19049,Gold,5,3000
1,F,72,5281,Gold,8,3000
0,F,72,9694,Gold,5,3000
0,F,72,10219,Gold,1,3000
0,F,72,15038,Gold,4,3000
1,F,72,16820,Gold,2,3000
0,F,72,19567,Gold,2,3000
0,M,73,6879,Gold,2,3000
0,F,73,8721,Gold,1,3000
1,F,73,9734,Gold,29,3000
0,M,73,14198,Gold,11,3000
1,F,73,14924,Gold,13,3000
0,F,73,15011,Gold,4,3000
0,F,73,15398,Gold,11,3000
0,F,73,16705,Gold,13,3000
0,F,74,9681,Gold,6,3000
1,M,74,10881,Gold,31,3000
0,M,74,15865,Gold,16,3000
1,F,74,16608,Gold,31,3000
1,F,74,17613,Gold,12,3000
0,F,74,17821,Gold,7,3000
0,F,74,17958,Gold,8,3000
0,M,75,8231,Gold,12,3000
0,F,75,10813,Gold,6,3000
0,F,75,16044,Gold,16,3000
0,F,75,16725,Gold,9,3000
0,F,75,17082,Gold,2,3000
0,F,75,17584,Gold,24,3000
0,M,75,18109,Gold,17,3000
0,F,75,18584,Gold,11,3000
0,F,75,18604,Gold,6,3000
0,M,75,19195,Gold,1,3000
1,F,75,19328,Gold,4,3000
0,F,76,5599,Gold,2,3000
0,F,76,5632,Gold,6,3000
0,F,76,6887,Gold,1,3000
1,F,76,7047,Gold,5,3000
0,F,76,9798,Gold,8,3000
0,F,76,15296,Gold,16,3000
1,M,76,17621,Gold,27,3000
0,F,76,18125,Gold,2,3000
1,M,77,7512,Gold,18,3000
0,F,77,11141,Gold,4,3000
0,M,77,11555,Gold,2,3000
0,M,77,13115,Gold,11,3000
0,M,77,13946,Gold,24,3000
0,M,77,15704,Gold,17,3000
0,F,77,16000,Gold,2,3000
0,F,78,5124,Gold,21,3000
1,F,78,6480,Gold,2,3000
0,F,78,7638,Gold,2,3000
0,F,78,9050,Gold,4,3000
0,F,78,9309,Gold,5,3000
0,M,78,17089,Gold,3,3000
0,F,78,17140,Gold,27,3000
0,F,79,10455,Gold,21,3000
1,F,79,12324,Gold,1,3000
0,M,79,18989,Gold,5,3000
1,F,25,8965,Gold,2,3500
1,M,26,5978,Gold,2,3500
0,F,33,10377,Gold,4,3500
1,F,34,6948,Gold,2,3500
1,F,34,8325,Gold,2,3500
1,M,34,14290,Gold,8,3500
1,F,34,18445,Gold,5,3500
1,F,35,12136,Gold,6,3500
0,M,36,7867,Gold,8,3500
0,F,36,9702,Gold,11,3500
1,M,37,12631,Gold,2,3500
0,F,38,13073,Gold,7,3500
0,F,39,13863,Gold,8,3500
